id	taxon	long	lat	abundance
1	Harpyhaliaetus coronatus	-65.54903	-37.96136	1
2	Harpyhaliaetus coronatus	-65.591	-37.983	1
3	Harpyhaliaetus coronatus	-65.632	-37.997	1
4	Harpyhaliaetus coronatus	-62.567	-19.917	1
5	Harpyhaliaetus coronatus	-58.683	-18.85	1
9	Harpyhaliaetus coronatus	-42.95	-22.42	1
10	Harpyhaliaetus coronatus	-42.8932	-16.5653	1
17	Harpyhaliaetus coronatus	-51.5016	-18.6236	1
18	Harpyhaliaetus coronatus	-66.5833	-32.352	1
19	Harpyhaliaetus coronatus	-66.9363	-28.8133	1
20	Harpyhaliaetus coronatus	-65.2591	-35.4284	1
21	Harpyhaliaetus coronatus	-50.2656	-24.5707	1
23	Harpyhaliaetus coronatus	-43.9416	-16.7094	1
25	Harpyhaliaetus coronatus	-64.2788	-36.6232	1
26	Harpyhaliaetus coronatus	-67.4913	-30.7319	1
27	Harpyhaliaetus coronatus	-65.46	-32.805	1
28	Harpyhaliaetus coronatus	-45.0022	-19.2108	1
29	Harpyhaliaetus coronatus	-64.656484	-31.891294	1
30	Harpyhaliaetus coronatus	-50.3868	-29.4239	1
31	Harpyhaliaetus coronatus	-64.2247	-36.9035	1
32	Harpyhaliaetus coronatus	-50.3815	-29.3925	1
33	Harpyhaliaetus coronatus	-65.9175	-32.3928	1
35	Harpyhaliaetus coronatus	-59.709	-26.827	1
37	Harpyhaliaetus coronatus	-58.0882	-29.8014	1
38	Harpyhaliaetus coronatus	-64.2265	-37.5748	1
39	Harpyhaliaetus coronatus	-65.8004	-11.3781	1
40	Harpyhaliaetus coronatus	-42.9395	-22.345	1
41	Harpyhaliaetus coronatus	-49.841	-28.016	1
42	Harpyhaliaetus coronatus	-67.1789	-33.2258	1
43	Harpyhaliaetus coronatus	-49.8328	-28.0116	1
48	Harpyhaliaetus coronatus	-43.8921	-22.6769	1
49	Harpyhaliaetus coronatus	-61.1304	-31.9335	1
51	Harpyhaliaetus coronatus	-43.6441	-20.2824	1
52	Harpyhaliaetus coronatus	-45.5333	-13.6355	1
53	Harpyhaliaetus coronatus	-62.4582	-21.6725	1
55	Harpyhaliaetus coronatus	-45.5223	-13.6361	1
56	Harpyhaliaetus coronatus	-65.8	-11.2833	1
58	Harpyhaliaetus coronatus	-41.3948	-13.0101	1
59	Harpyhaliaetus coronatus	-58.3652	-26.033	1
61	Harpyhaliaetus coronatus	-66.8708	-32.3622	1
62	Harpyhaliaetus coronatus	-46.7653	-23.2115	1
63	Harpyhaliaetus coronatus	-65.0998	-36.2046	1
64	Harpyhaliaetus coronatus	-66.8504	-32.3621	1
66	Harpyhaliaetus coronatus	-55.2871	-15.8176	1
67	Harpyhaliaetus coronatus	-49.601	-17.0706	1
69	Harpyhaliaetus coronatus	-45.6684	-22.6762	1
71	Harpyhaliaetus coronatus	-64.9807	-25.2654	1
