id	taxon	long	lat	abundance
294	Harpyhaliaetus coronatus	-47.795699999999900	-22.324800000000000	1
298	Harpyhaliaetus coronatus	-44.593000000000000	-22.664300000000000	1
304	Harpyhaliaetus coronatus	-43.634900000000000	-22.488299999999900	1
306	Harpyhaliaetus coronatus	-46.417900000000000	-20.326400000000000	1
307	Harpyhaliaetus coronatus	-50.366199999999900	-29.054800000000000	1
308	Harpyhaliaetus coronatus	-60.996884000000000	-30.435434000000000	1
309	Harpyhaliaetus coronatus	-42.517400000000000	-22.055199999999900	1
312	Harpyhaliaetus coronatus	-42.486899999999900	-22.089600000000000	1
315	Harpyhaliaetus coronatus	-61.088799999999900	-28.766999999999900	1
317	Harpyhaliaetus coronatus	-44.968200000000000	-21.331099999999900	1
318	Harpyhaliaetus coronatus	-63.229100000000000	-24.056100000000000	1
322	Harpyhaliaetus coronatus	-64.515000000000000	-32.071700000000000	1
323	Harpyhaliaetus coronatus	-64.467634000000000	-32.065818000000000	1
327	Harpyhaliaetus coronatus	-44.763900000000000	-23.216000000000000	1
329	Harpyhaliaetus coronatus	-43.341900000000000	-20.793700000000000	1
332	Harpyhaliaetus coronatus	-50.536900000000000	-29.388900000000000	1
334	Harpyhaliaetus coronatus	-56.853800000000000	-15.169400000000000	1
336	Harpyhaliaetus coronatus	-46.643599999999900	-21.529100000000000	1
337	Harpyhaliaetus coronatus	-46.981299999999900	-20.109400000000000	1
338	Harpyhaliaetus coronatus	-46.987400000000000	-20.112100000000000	1
339	Harpyhaliaetus coronatus	-66.680300000000000	-34.050400000000000	1
341	Harpyhaliaetus coronatus	-42.901125000000000	-19.146215999999900	1
342	Harpyhaliaetus coronatus	-43.969600000000000	-20.277500000000000	1
349	Harpyhaliaetus coronatus	-44.508861000000000	-22.284136000000000	1
350	Harpyhaliaetus coronatus	-44.480392999999900	-22.241526000000000	1
362	Harpyhaliaetus coronatus	-64.363900000000000	-31.193100000000000	1
364	Harpyhaliaetus coronatus	-67.456199999999900	-28.243200000000000	1
366	Harpyhaliaetus coronatus	-49.934500000000000	-27.951499999999900	1
370	Harpyhaliaetus coronatus	-65.242000000000000	-32.168100000000000	1
371	Harpyhaliaetus coronatus	-66.994666699999900	-32.497416700000000	1
372	Harpyhaliaetus coronatus	-67.009694400000000	-32.484749999999900	1
373	Harpyhaliaetus coronatus	-67.115361100000000	-32.493861099999900	1
375	Harpyhaliaetus coronatus	-66.994388900000000	-32.497083300000000	1
386	Harpyhaliaetus coronatus	-65.783333299999900	-36.683333300000000	1
392	Harpyhaliaetus coronatus	-65.301649999999900	-32.309060000000000	1
408	Harpyhaliaetus coronatus	-60.579999999999900	-28.100000000000000	1
411	Harpyhaliaetus coronatus	-66.803616700000000	-34.107799999999900	1
412	Harpyhaliaetus coronatus	-66.806522200000000	-34.109025000000000	1
413	Harpyhaliaetus coronatus	-66.877197199999900	-34.140069400000000	1
418	Harpyhaliaetus coronatus	-65.663063899999900	-38.066855599999900	1
422	Harpyhaliaetus coronatus	-65.045381000000000	-29.296357000000000	1
424	Harpyhaliaetus coronatus	-62.525289999999900	-30.545200000000000	1
427	Harpyhaliaetus coronatus	-65.933333300000000	-36.683333300000000	1
428	Harpyhaliaetus coronatus	-65.933333300000000	-36.649999999999900	1
429	Harpyhaliaetus coronatus	-66.150000000000000	-36.600000000000000	1
432	Harpyhaliaetus coronatus	-66.916666699999900	-36.100000000000000	1
435	Harpyhaliaetus coronatus	-65.883333300000000	-36.683333300000000	1
436	Harpyhaliaetus coronatus	-65.633333300000000	-36.683333300000000	1
441	Harpyhaliaetus coronatus	-66.833333300000000	-37.200000000000000	1
450	Harpyhaliaetus coronatus	-66.000000000000000	-36.633333299999900	1
451	Harpyhaliaetus coronatus	-65.616666699999900	-36.516666700000000	1
464	Harpyhaliaetus coronatus	-66.000000000000000	-36.666666700000000	1
466	Harpyhaliaetus coronatus	-65.416666699999900	-36.700000000000000	1
469	Harpyhaliaetus coronatus	-66.133333300000000	-36.583333300000000	1
471	Harpyhaliaetus coronatus	-65.783333299999900	-36.616666700000000	1
472	Harpyhaliaetus coronatus	-65.666666699999900	-36.683333300000000	1
474	Harpyhaliaetus coronatus	-65.750000000000000	-36.683333300000000	1
